City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
569,Kalemie,CD,74.62,overcast clouds,-5.9475,29.1947,Mahobilali
573,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
574,Key Largo,US,86.0,few clouds,25.0865,-80.4473,Bayside Inn Key Largo
577,Schroeder,BR,72.77,overcast clouds,-26.4125,-49.0731,Schroeder Imóveis e Waldenir Hang Corretor de Imóveis
579,Santa Cruz De Tenerife,ES,73.0,broken clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
583,Salvador,SV,76.05,overcast clouds,13.8333,-88.9167,Chico's Ranch
587,Ferkessedougou,CI,87.01,broken clouds,9.6,-5.2,Hotel Chateau
588,Teluknaga,ID,83.17,few clouds,-6.0989,106.6381,Kost Mewah (Mepet Sawah)
593,Ladario,BR,84.49,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
597,Nabire,ID,76.06,light rain,-3.3667,135.4833,Hotel Nusantara I
602,Miramar,US,88.02,broken clouds,25.9873,-80.2323,Stadium Hotel
606,Destin,US,78.03,moderate rain,30.3935,-86.4958,Wingate by Wyndham Destin
608,Keti Bandar,PK,83.61,clear sky,24.1447,67.4497,Haji laloo memon house
610,Puerto Concordia,CO,79.93,few clouds,2.6221,-72.7572,Hotel El Jardín
611,Padang,ID,78.64,scattered clouds,-0.9492,100.3543,Mercure Padang
614,Pontian Kecil,MY,77.32,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
615,Matara,LK,78.12,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
617,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
618,Bandarbeyla,SO,81.21,broken clouds,9.4942,50.8122,JABIR HOTEL
619,Tamandare,BR,80.1,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
624,Bosaso,SO,87.78,broken clouds,11.2842,49.1816,Red Sea Hotel
627,Yinchuan,CN,74.91,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
628,Biak,ID,76.33,broken clouds,-0.9131,122.8766,Penginapan Kim
633,Sinjai,ID,75.74,broken clouds,-5.1241,120.253,Wisma Sandika
635,Fairview,US,71.78,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
639,Pangkalanbuun,ID,75.85,scattered clouds,-2.6833,111.6167,Grand Kecubung Hotel
643,Tawau,MY,78.93,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
645,Cape Coast,GH,81.12,light rain,5.1053,-1.2466,Samrit Hotel
646,Harper,LR,80.35,light rain,4.375,-7.7169,Screensaver
647,Girne,CY,83.75,clear sky,35.3417,33.3167,Lavanta Residence
648,Ambon,ID,77.14,heavy intensity rain,-3.6954,128.1814,Swiss-Belhotel Ambon
649,Ahmadpur East,PK,86.63,clear sky,29.1431,71.2598,Irfan fabrics
650,Nogales,MX,73.24,clear sky,31.3086,-110.9422,Siesta Motel
651,Liwale,TZ,72.09,few clouds,-9.7667,37.9333,Nakivubo Executive Lodge
652,Sompeta,IN,86.52,scattered clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
654,Russell,US,76.15,broken clouds,32.3502,-85.1999,Macs
657,Torres,BR,75.83,clear sky,-29.3353,-49.7269,Farol Hotel
